name,team,age,ova,pot,value_eur_m,wage_eur_k,total_stats,image_url,source,snapshot_date
Kylian Mbappé,Paris Saint-Germain,21,90,95,185.5,160,2157,,Starter snapshot based on original notebook examples,2020-12-01
Erling Haaland,Borussia Dortmund,19,87,93,122.5,72,2086,,Starter snapshot based on original notebook examples,2020-12-01
C. Ronaldo dos Santos Aveiro,Juventus,35,92,92,63.0,220,2221,,Starter snapshot based on original notebook examples,2020-12-01
Lionel Messi,FC Barcelona,33,93,93,103.5,560,2231,,Starter snapshot based on original notebook examples,2020-12-01
Neymar da Silva Santos Jr.,Paris Saint-Germain,28,91,91,132.0,270,2174,,Starter snapshot based on original notebook examples,2020-12-01
Kevin De Bruyne,Manchester City,29,91,91,129.0,370,2300,,Starter snapshot based on original notebook examples,2020-12-01
Robert Lewandowski,Bayern München,31,91,91,80.0,240,2218,,Starter snapshot based on original notebook examples,2020-12-01
Jan Oblak,Atlético Madrid,27,91,91,75.0,125,1415,,Starter snapshot based on original notebook examples,2020-12-01
Virgil van Dijk,Liverpool,28,90,91,75.5,210,2150,,Starter snapshot based on original notebook examples,2020-12-01
Sadio Mané,Liverpool,28,90,90,100.0,250,2165,,Starter snapshot based on original notebook examples,2020-12-01
Gianluigi Donnarumma,Milan,21,86,92,88.5,37,1361,,Starter snapshot based on original notebook examples,2020-12-01
Jadon Sancho,Borussia Dortmund,20,87,92,118.5,82,2011,,Starter snapshot based on original notebook examples,2020-12-01
Phil Foden,Manchester City,20,83,92,79.5,115,2035,,Starter snapshot based on original notebook examples,2020-12-01
Frenkie de Jong,FC Barcelona,23,86,91,102.0,210,2203,,Starter snapshot based on original notebook examples,2020-12-01
Pedri,FC Barcelona,17,77,91,24.0,15,1947,,Starter snapshot based on original notebook examples,2020-12-01
Ansu Fati,FC Barcelona,17,76,90,18.0,8,1900,,Starter snapshot based on original notebook examples,2020-12-01
Alphonso Davies,Bayern München,19,81,89,49.0,51,2050,,Starter snapshot based on original notebook examples,2020-12-01
Bukayo Saka,Arsenal,18,75,88,16.5,9,1895,,Starter snapshot based on original notebook examples,2020-12-01
Jude Bellingham,Borussia Dortmund,17,69,88,3.5,5,1800,,Starter snapshot based on original notebook examples,2020-12-01
Eduardo Camavinga,Stade Rennais,17,76,88,18.0,11,1960,,Starter snapshot based on original notebook examples,2020-12-01
Dayot Upamecano,RB Leipzig,21,79,88,34.0,39,1980,,Starter snapshot based on original notebook examples,2020-12-01
Florian Wirtz,Bayer Leverkusen,17,71,88,4.8,3,1830,,Starter snapshot based on original notebook examples,2020-12-01
Mason Greenwood,Manchester United,18,77,89,22.5,27,1908,,Starter snapshot based on original notebook examples,2020-12-01
Rayan Cherki,Olympique Lyonnais,16,67,88,2.5,2,1720,,Starter snapshot based on original notebook examples,2020-12-01
Marcus Rashford,Manchester United,22,85,89,85.0,180,2080,,Starter snapshot based on original notebook examples,2020-12-01
Paulo Dybala,Juventus,26,88,89,79.0,175,2110,,Starter snapshot based on original notebook examples,2020-12-01
Trent Alexander-Arnold,Liverpool,21,87,90,114.0,150,2190,,Starter snapshot based on original notebook examples,2020-12-01
João Félix,Atlético Madrid,20,81,93,76.0,90,2020,,Starter snapshot based on original notebook examples,2020-12-01
Matvey Safonov,Russia,21,72,91,0.0,0,1039,,Starter snapshot based on original notebook examples,2020-12-01
Frank Lampard,New York City FC,38,65,71,0.0,0,1600,,Starter snapshot based on original notebook examples,2020-12-01
